E36233A exported datalog
File type: CSV

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 0.200000"
"Number of sample: 100/300"
"Trigger sample: 0"
"Date: 2002/04/15 10:49:02"

"V1: 5.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 5.000000, 0.000000"

Power Enabled:,"Watt avg 1"

Sample,"Volt avg 1","Curr avg 1"
0,5.000340,0.424540
1,5.001380,0.424540
2,5.001380,0.425190
3,5.001380,0.425190
4,5.001380,0.424540
5,5.001380,0.423880
6,5.001380,0.425190
7,5.001380,0.424540
8,5.000340,0.423880
9,5.000340,0.423880
10,5.000340,0.887030
11,5.000340,1.615120
12,5.000340,1.967060
13,5.000340,1.988650
14,5.000340,1.687730
15,5.000340,1.732870
16,5.000340,1.689690
17,5.000340,1.698850
18,5.000340,1.651750
19,5.000340,1.485590
20,5.000340,1.455500
21,5.000340,1.399900
22,5.000340,1.382890
23,5.000340,1.366530
24,5.000340,1.380930
25,5.000340,1.367840
26,5.000340,1.378960
27,5.000340,1.382230
28,5.000340,1.375040
29,5.000340,1.384850
30,5.000340,1.380270
31,5.000340,1.369150
32,5.000340,1.379620
33,5.000340,1.387470
34,5.000340,1.380930
35,5.000340,1.388780
36,5.000340,1.379620
37,5.000340,1.389430
38,5.000340,1.381580
39,5.000340,1.471860
40,5.000340,1.467930
41,5.000340,1.463350
42,5.000340,1.485590
43,5.000340,1.476430
44,5.000340,1.480360
45,5.000340,1.487560
46,5.000340,1.479710
47,5.000340,1.490170
48,5.000340,1.488210
49,5.000340,1.481010
50,5.000340,1.198410
51,5.000340,1.606610
52,5.000340,1.462040
53,5.000340,1.481670
54,5.000340,1.484940
55,5.000340,1.483630
56,5.000340,1.509140
57,5.000340,1.455500
58,5.000340,1.490830
59,5.000340,1.490170
60,5.000340,1.490170
61,5.000340,1.491480
62,5.000340,1.059730
63,5.000340,1.460730
64,5.000340,1.473160
65,5.000340,1.487560
66,5.000340,1.490830
67,5.000340,1.484940
68,5.000340,1.486250
69,5.000340,1.496060
70,5.000340,1.498020
71,5.000340,1.531380
72,5.000340,1.531380
73,5.000340,1.524840
74,5.000340,1.112060
75,5.000340,1.511760
76,5.000340,1.508490
77,5.000340,1.520920
78,5.000340,1.525500
79,5.000340,1.532690
80,5.000340,1.552970
81,5.000340,1.537270
82,5.000340,1.541850
83,5.000340,1.535960
84,5.000340,1.538580
85,5.000340,1.438490
86,5.000340,0.456590
87,5.001380,0.457900
88,5.000340,0.489950
89,5.000340,0.478830
90,5.000340,0.449390
91,5.001380,0.446780
92,5.000340,0.444160
93,5.000340,0.443510
94,5.000340,0.441540
95,5.000340,0.440890
96,5.001380,0.440240
97,5.001380,0.440240
98,5.001380,0.479490
99,5.001380,0.478180
