E36233A exported datalog
File type: CSV

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 0.200000"
"Number of sample: 99/300"
"Trigger sample: 0"
"Date: 2002/04/15 10:50:19"

"V1: 5.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 5.000000, 0.000000"

Power Enabled:,"Watt avg 1"

Sample,"Volt avg 1","Curr avg 1"
0,5.001380,0.425840
1,5.001380,0.426500
2,5.001380,0.426500
3,5.001380,0.425840
4,5.001380,0.425190
5,5.001380,0.425190
6,5.000340,0.425840
7,5.001380,0.424540
8,5.000340,0.425840
9,5.000340,0.427150
10,5.000340,0.426500
11,5.001380,0.426500
12,5.001380,0.425840
13,5.000340,1.525500
14,5.000340,1.970980
15,5.000340,1.989960
16,5.000340,1.700810
17,5.000340,1.646520
18,5.000340,1.608580
19,5.000340,1.649130
20,5.000340,1.439800
21,5.000340,1.484940
22,5.000340,1.448960
23,5.000340,1.480360
24,5.000340,1.384850
25,5.000340,1.384850
26,5.000340,1.366530
27,5.000340,1.384200
28,5.000340,1.373730
29,5.000340,1.385510
30,5.000340,1.379620
31,5.000340,1.382890
32,5.000340,1.381580
33,5.000340,1.393360
34,5.000340,1.388780
35,5.000340,1.384850
36,5.000340,1.389430
37,5.000340,1.378960
38,5.000340,1.394660
39,5.000340,1.386160
40,5.000340,1.382230
41,5.000340,1.390080
42,5.000340,1.303080
43,5.000340,1.472510
44,5.000340,1.457460
45,5.000340,1.490830
46,5.000340,1.475130
47,5.000340,1.484940
48,5.000340,1.493440
49,5.000340,1.520260
50,5.000340,1.524190
51,5.000340,1.534660
52,5.000340,1.524840
53,5.000340,1.272330
54,5.000340,1.513070
55,5.000340,1.503910
56,5.000340,1.518960
57,5.000340,1.485590
58,5.000340,1.482980
59,5.000340,1.506530
60,5.000340,1.452880
61,5.000340,1.490170
62,5.000340,1.490830
63,5.000340,1.484940
64,5.000340,1.486250
65,5.000340,1.063000
66,5.000340,1.507830
67,5.000340,1.473160
68,5.000340,1.486250
69,5.000340,1.490170
70,5.000340,1.481670
71,5.000340,1.485590
72,5.000340,1.490830
73,5.000340,1.494100
74,5.000340,1.497370
75,5.000340,1.528110
76,5.000340,1.511760
77,5.000340,1.142160
78,5.000340,1.482980
79,5.000340,1.471860
80,5.000340,1.488210
81,5.000340,1.484940
82,5.000340,1.492790
83,5.000340,1.515030
84,5.000340,1.501290
85,5.000340,1.499330
86,5.000340,1.496060
87,5.000340,1.499330
88,5.000340,1.391390
89,5.000340,0.410800
90,5.001380,0.417990
91,5.000340,0.450700
92,5.000340,0.451360
93,5.000340,0.449390
94,5.000340,0.447430
95,5.001380,0.446120
96,5.000340,0.444810
97,5.001380,0.443510
98,5.001380,0.442200
