E36233A exported datalog
File type: CSV

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 0.200000"
"Number of sample: 165/300"
"Trigger sample: 0"
"Date: 2002/04/15 11:19:26"

"V1: 5.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 5.000000, 0.000000"

Power Enabled:,"Watt avg 1"

Sample,"Volt avg 1","Curr avg 1"
0,5.000340,0.434350
1,5.001380,0.435000
2,5.001380,0.434350
3,5.001380,0.435000
4,5.001380,0.434350
5,5.001380,0.433690
6,5.001380,0.434350
7,5.000340,0.434350
8,5.000340,0.434350
9,5.001380,0.435660
10,5.001380,0.435000
11,5.001380,0.435000
12,5.001380,0.435000
13,5.000340,1.440460
14,5.000340,1.542510
15,5.000340,1.551010
16,5.000340,1.307010
17,5.000340,1.457460
18,5.000340,1.295230
19,5.000340,1.337750
20,5.000340,1.263830
21,5.000340,1.174210
22,5.000340,1.282800
23,5.000340,1.115990
24,5.000340,1.093090
25,5.000340,1.093750
26,5.000340,1.091780
27,5.000340,1.100290
28,5.000340,1.090480
29,5.000340,1.091130
30,5.000340,1.092440
31,5.000340,1.100940
32,5.000340,1.106180
33,5.000340,1.104870
34,5.000340,1.095710
35,5.000340,1.098330
36,5.000340,1.098980
37,5.000340,1.089170
38,5.000340,1.134310
39,5.000340,1.088510
40,5.000340,1.129730
41,5.000340,1.104870
42,5.000340,1.274300
43,5.000340,1.192530
44,5.000340,1.131040
45,5.000340,1.193180
46,5.000340,1.154580
47,5.000340,1.148040
48,5.000340,1.200380
49,5.000340,1.184680
50,5.000340,1.191870
51,5.000340,1.196450
52,5.000340,1.316820
53,5.000340,1.155240
54,5.000340,1.215420
55,5.000340,1.201030
56,5.000340,1.196450
57,5.000340,1.185980
58,5.000340,1.199070
59,5.000340,1.190560
60,5.000340,1.193830
61,5.000340,1.200380
62,5.000340,1.161130
63,5.000340,1.158510
64,5.000340,1.134960
65,5.000340,1.122530
66,5.000340,1.133650
67,5.000340,1.099630
68,5.000340,1.091130
69,5.000340,1.059730
70,5.000340,1.207570
71,5.000340,1.165050
72,5.000340,1.167670
73,5.000340,1.151970
74,5.000340,1.160470
75,5.000340,1.157860
76,5.000340,1.150660
77,5.000340,1.161780
78,5.000340,1.153280
79,5.000340,1.161130
80,5.000340,1.064960
81,5.000340,1.198410
82,5.000340,1.187950
83,5.000340,1.142810
84,5.000340,1.130380
85,5.000340,1.164400
86,5.000340,1.135610
87,5.000340,1.157200
88,5.000340,1.158510
89,5.000340,1.152620
90,5.000340,1.159820
91,5.000340,1.081320
92,5.000340,1.106180
93,5.000340,1.090480
94,5.000340,1.085900
95,5.000340,1.089820
96,5.001380,1.098980
97,5.000340,1.089170
98,5.000340,1.208230
99,5.000340,1.156550
100,5.000340,1.200380
101,5.000340,1.156550
102,5.000340,1.197760
103,5.000340,1.192530
104,5.000340,1.140190
105,5.000340,1.198410
106,5.000340,1.142160
107,5.000340,1.151970
108,5.000340,1.063000
109,5.000340,1.197110
110,5.000340,1.157860
111,5.000340,1.171590
112,5.000340,1.162430
113,5.000340,1.157200
114,5.000340,1.170280
115,5.000340,1.157200
116,5.000340,1.168320
117,5.000340,1.170940
118,5.000340,1.156550
119,5.000340,1.142160
120,5.000340,1.123180
121,5.000340,1.088510
122,5.000340,1.093090
123,5.000340,1.102910
124,5.000340,1.093750
125,5.000340,1.098330
126,5.000340,1.055150
127,5.000340,1.212810
128,5.000340,1.173560
129,5.000340,1.159820
130,5.000340,1.182060
131,5.000340,1.148700
132,5.000340,1.149350
133,5.000340,1.202990
134,5.000340,1.163740
135,5.000340,1.172250
136,5.000340,1.169630
137,5.001380,1.051880
138,5.000340,1.159820
139,5.000340,1.201030
140,5.000340,1.165050
141,5.000340,1.158510
142,5.000340,1.155890
143,5.000340,1.160470
144,5.000340,1.157860
145,5.000340,1.157860
146,5.000340,1.170940
147,5.000340,1.157200
148,5.000340,1.131690
149,5.000340,1.092440
150,5.000340,1.086550
151,5.000340,1.095710
152,5.000340,1.087860
153,5.000340,1.100290
154,5.001380,0.427150
155,5.001380,0.463790
156,5.001380,0.461820
157,5.001380,0.459860
158,5.001380,0.456590
159,5.000340,0.456590
160,5.001380,0.454630
161,5.001380,0.453320
162,5.000340,0.453970
163,5.000340,0.453320
164,5.000340,0.452010
