E36233A exported datalog
File type: CSV

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 0.200000"
"Number of sample: 170/300"
"Trigger sample: 0"
"Date: 2002/04/15 11:21:05"

"V1: 5.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 5.000000, 0.000000"

Power Enabled:,"Watt avg 1"

Sample,"Volt avg 1","Curr avg 1"
0,5.001380,0.431080
1,5.001380,0.431080
2,5.001380,0.429770
3,5.000340,0.430420
4,5.000340,0.431080
5,5.000340,0.430420
6,5.000340,0.430420
7,5.001380,0.430420
8,5.001380,0.430420
9,5.001380,0.430420
10,5.000340,0.467060
11,5.000340,1.358680
12,5.000340,1.505870
13,5.000340,1.545120
14,5.000340,1.522880
15,5.000340,1.303730
16,5.000340,1.365880
17,5.000340,1.337750
18,5.000340,1.290650
19,5.000340,1.340370
20,5.000340,1.327280
21,5.000340,1.136270
22,5.000340,1.223930
23,5.000340,1.121220
24,5.000340,1.148700
25,5.000340,1.121880
26,5.000340,1.275610
27,5.000340,1.086550
28,5.000340,1.172900
29,5.000340,1.091130
30,5.000340,1.107480
31,5.000340,1.107480
32,5.000340,1.086550
33,5.000340,1.126460
34,5.000340,1.097670
35,5.000340,1.092440
36,5.000340,1.103560
37,5.000340,1.090480
38,5.000340,1.170280
39,5.000340,1.346260
40,5.000340,1.140190
41,5.000340,1.172900
42,5.000340,1.270370
43,5.000340,1.167670
44,5.000340,1.187290
45,5.000340,1.146080
46,5.000340,1.183370
47,5.000340,1.284760
48,5.000340,1.185980
49,5.000340,1.064960
50,5.000340,1.301770
51,5.000340,1.136270
52,5.000340,1.144120
53,5.000340,1.148700
54,5.000340,1.147390
55,5.000340,1.144120
56,5.000340,1.157200
57,5.000340,1.144770
58,5.000340,1.155240
59,5.000340,1.156550
60,5.000340,1.078700
61,5.000340,1.099630
62,5.000340,1.078050
63,5.000340,1.078050
64,5.000340,1.081320
65,5.000340,1.081970
66,5.000340,1.088510
67,5.000340,1.329250
68,5.000340,1.164400
69,5.000340,1.146080
70,5.000340,1.160470
71,5.000340,1.129730
72,5.000340,1.170940
73,5.000340,1.189910
74,5.000340,1.132340
75,5.000340,1.189260
76,5.000340,1.145430
77,5.000340,1.130380
78,5.000340,1.156550
79,5.000340,1.180100
80,5.000340,1.140850
81,5.000340,1.138880
82,5.000340,1.145430
83,5.000340,1.137580
84,5.000340,1.151970
85,5.000340,1.138230
86,5.000340,1.146730
87,5.000340,1.138880
88,5.000340,1.117300
89,5.000340,1.077390
90,5.000340,1.091780
91,5.000340,1.078700
92,5.000340,1.078050
93,5.000340,1.089820
94,5.000340,1.039450
95,5.000340,1.199720
96,5.000340,1.168320
97,5.000340,1.165050
98,5.000340,1.147390
99,5.000340,1.193180
100,5.000340,1.159820
101,5.000340,1.159820
102,5.000340,1.163090
103,5.000340,1.147390
104,5.000340,1.151970
105,5.000340,1.133000
106,5.000340,1.213460
107,5.000340,1.175520
108,5.000340,1.137580
109,5.000340,1.179440
110,5.000340,1.191870
111,5.000340,1.157200
112,5.000340,1.194490
113,5.000340,1.143460
114,5.000340,1.192530
115,5.000340,1.168320
116,5.000340,1.133000
117,5.000340,1.083930
118,5.000340,1.094400
119,5.000340,1.087210
120,5.000340,1.092440
121,5.000340,1.093750
122,5.000340,1.084590
123,5.000340,1.061040
124,5.000340,1.197110
125,5.000340,1.191870
126,5.000340,1.151970
127,5.000340,1.177480
128,5.000340,1.139540
129,5.000340,1.146080
130,5.000340,1.156550
131,5.000340,1.151310
132,5.000340,1.167010
133,5.000340,1.164400
134,5.000340,1.169630
135,5.000340,1.153280
136,5.000340,1.195800
137,5.000340,1.152620
138,5.000340,1.153280
139,5.000340,1.151970
140,5.000340,1.163740
141,5.000340,1.154580
142,5.000340,1.157200
143,5.000340,1.150660
144,5.001380,1.155890
145,5.000340,1.124490
146,5.000340,1.083930
147,5.000340,1.093090
148,5.000340,1.087210
149,5.000340,1.081320
150,5.000340,1.096360
151,5.001380,0.428460
152,5.001380,0.419300
153,5.001380,0.454630
154,5.001380,0.452660
155,5.001380,0.451360
156,5.000340,0.450050
157,5.000340,0.449390
158,5.001380,0.448090
159,5.001380,0.447430
160,5.001380,0.446120
161,5.001380,0.446120
162,5.001380,0.446120
163,5.001380,0.444810
164,5.001380,0.444810
165,5.001380,0.446120
166,5.001380,0.444810
167,5.000340,0.444160
168,5.000340,0.444160
169,5.001380,0.443510
