time, platform_angle, joint_velocity
0.001000, -0.000718, 0.001475
0.002000, -0.000519, -0.002702
0.003000, 0.001330, 0.001025
0.004000, -0.000196, -0.000287
0.005000, 0.001257, -0.000389
0.006000, 0.114883, 114.355745
0.007000, 0.238216, 123.913876
0.008000, 0.290699, 53.657925
0.009000, 0.345919, 55.588629
0.010000, 0.443772, 96.282491
0.011000, 0.528952, 84.904793
0.012000, 0.569736, 40.454680
0.013000, 0.621648, 52.857284
0.014000, 0.644569, 23.748350
0.015000, 0.658801, 12.787412
0.016000, 0.666376, 8.492184
0.017000, 0.674415, 7.132592
0.018000, 0.679505, 5.877713
0.019000, 0.683972, 5.286910
0.020000, 0.690997, 4.989862
0.021000, 0.695019, 4.805093
0.022000, 0.700472, 4.683730
0.023000, 0.704050, 4.604203
0.024000, 0.710183, 4.508876
0.025000, 0.714697, 4.435164
0.026000, 0.718097, 4.360108
0.027000, 0.722353, 4.297370
0.028000, 0.726268, 4.222591
0.029000, 0.730083, 4.149342
0.030000, 0.733747, 4.091476
0.031000, 0.739258, 4.031883
0.032000, 0.743401, 3.974254
0.033000, 0.746658, 3.918605
0.034000, 0.751882, 3.865070
0.035000, 0.753611, 3.798210
0.036000, 0.757132, 3.733081
0.037000, 0.761703, 3.679120
0.038000, 0.764333, 3.609901
0.039000, 0.768690, 3.572461
0.040000, 0.769334, 3.523473
0.041000, 0.775549, 3.468102
0.042000, 0.777307, 3.420077
0.043000, 0.782515, 3.362902
0.044000, 0.783976, 3.332209
0.045000, 0.790329, 3.271251
0.046000, 0.792896, 3.230766
0.047000, 0.796520, 3.169495
0.048000, 0.799376, 3.130381
0.049000, 0.801798, 3.064495
0.050000, 0.803638, 3.013426
0.051000, 0.807942, 2.961989
0.052000, 0.810044, 2.914250
0.053000, 0.813512, 2.869980
0.054000, 0.814754, 2.846766
0.055000, 0.817841, 2.796443
0.056000, 0.823444, 2.758352
0.057000, 0.822530, 2.707217
0.058000, 0.826657, 2.679716
0.059000, 0.829668, 2.651823
0.060000, 0.830956, 2.586322
0.061000, 0.834898, 2.561064
0.062000, 0.837205, 2.520997
0.063000, 0.838784, 2.479382
0.064000, 0.842469, 2.450571
0.065000, 0.845067, 2.403859
0.066000, 0.846505, 2.367625
0.067000, 0.850685, 2.338450
0.068000, 0.851514, 2.295149
0.069000, 0.853028, 2.255702
0.070000, 0.856378, 2.226990
0.071000, 0.856370, 2.181041
0.072000, 0.860297, 2.151194
0.073000, 0.863955, 2.129395
0.074000, 0.863673, 2.091157
0.075000, 0.865565, 2.074636
0.076000, 0.868799, 2.038650
0.077000, 0.871629, 1.990391
0.078000, 0.874264, 1.968034
0.079000, 0.874804, 1.950171
0.080000, 0.876647, 1.913825
0.081000, 0.879319, 1.875773
0.082000, 0.880882, 1.833824
0.083000, 0.883524, 1.812713
0.084000, 0.883157, 1.788373
0.085000, 0.885045, 1.757245
0.086000, 0.887481, 1.730244
0.087000, 0.889762, 1.697527
0.088000, 0.891061, 1.683041
0.089000, 0.892958, 1.665662
0.090000, 0.895990, 1.637224
0.091000, 0.895540, 1.609144
0.092000, 0.896560, 1.582791
0.093000, 0.898662, 1.556699
0.094000, 0.901381, 1.520925
0.095000, 0.902231, 1.506344
0.096000, 0.904789, 1.494438
0.097000, 0.904792, 1.474543
0.098000, 0.906799, 1.439781
0.099000, 0.909465, 1.420991
0.100000, 0.909402, 1.389495
0.101000, 0.910433, 1.374820
0.102000, 0.912600, 1.353233
0.103000, 0.912453, 1.327241
0.104000, 0.916012, 1.306532
0.105000, 0.916427, 1.299103
0.106000, 0.915688, 1.273261
0.107000, 0.917836, 1.265239
0.108000, 0.920753, 1.232494
0.109000, 0.920287, 1.212402
0.110000, 0.922384, 1.211169
0.111000, 0.925375, 1.193923
0.112000, 0.925821, 1.164508
0.113000, 0.924584, 1.153187
0.114000, 0.925111, 1.132923
0.115000, 0.926792, 1.101682
0.116000, 0.928719, 1.077174
0.117000, 0.930874, 1.079595
0.118000, 0.931049, 1.074781
0.119000, 0.929924, 1.064426
0.120000, 0.932032, 1.041296
0.121000, 0.935707, 1.013974
0.122000, 0.934915, 0.998392
0.123000, 0.936462, 1.001931
